rank,name,gender,origin,rank_us,rank_world,freq
126,terry,u,US,126,521274,52.1
127,diane,f,US,127,519974,52.0
128,noah,m,US,128,513572,51.4
129,julie,f,US,129,512472,51.2
130,joyce,f,US,130,511995,51.2
131,carl,m,US,131,507825,50.8
132,rose,f,US,132,500276,50.0
133,kyle,m,US,133,494085,49.4
134,albert,m,US,134,493950,49.4
135,joan,f,US,135,488485,48.8
136,jean,f,US,136,483213,48.3
137,christina,f,US,137,481348,48.1
138,lauren,f,US,138,480615,48.1
139,ethan,m,US,139,480199,48.0
140,julia,f,US,140,475798,47.6
141,lillian,f,US,141,472453,47.2
142,ann,f,US,142,471397,47.1
143,christian,m,US,143,470105,47.0
144,doris,f,US,144,465726,46.6
145,joe,m,US,145,464326,46.4
146,lawrence,m,US,146,462765,46.3
147,hannah,f,US,147,462368,46.2
148,kathryn,f,US,148,456128,45.6
149,judith,f,US,149,455602,45.6
150,mildred,f,US,150,452895,45.3
151,gerald,m,US,151,451178,45.1
152,andrea,f,US,152,450102,45.0
153,jeremy,m,US,153,447588,44.8
154,roger,m,US,154,443528,44.4
155,jesse,m,US,155,442811,44.3
156,taylor,u,US,156,442493,44.2
157,megan,f,US,157,440869,44.1
158,charlotte,f,US,158,440706,44.1
159,cheryl,f,US,159,440480,44.0
160,austin,m,US,160,440461,44.0
161,keith,m,US,161,439808,44.0
162,sara,f,US,162,435846,43.6
163,dylan,m,US,163,428351,42.8
164,jacqueline,f,US,164,426929,42.7
165,sophia,f,US,165,426919,42.7
166,sean,m,US,166,425998,42.6
167,harry,m,US,167,425549,42.6
168,madison,f,US,168,422660,42.3
169,teresa,f,US,169,416911,41.7
170,gloria,f,US,170,416573,41.7
171,ralph,m,US,171,415639,41.6
172,logan,m,US,172,413411,41.3
173,alexis,u,US,173,411469,41.1
174,roy,m,US,174,410743,41.1
175,abigail,f,US,175,408907,40.9
176,louis,m,US,176,407900,40.8
177,janice,f,US,177,407532,40.8
178,isabella,f,US,178,406648,40.7
179,theresa,f,US,179,405689,40.6
180,gabriel,m,US,180,395945,39.6
181,bryan,m,US,181,390298,39.0
182,billy,m,US,182,389442,38.9
183,bruce,m,US,183,387708,38.8
184,judy,f,US,184,383965,38.4
185,eugene,m,US,185,383085,38.3
186,leslie,u,US,186,382987,38.3
187,beverly,f,US,187,382945,38.3
188,jane,f,US,188,379619,38.0
189,natalie,f,US,189,377072,37.7
190,ruby,f,US,190,376074,37.6
191,amber,f,US,191,375082,37.5
192,denise,f,US,192,374664,37.5
193,marilyn,f,US,193,374490,37.4
194,danielle,f,US,194,373134,37.3
195,elijah,m,US,195,370593,37.1
196,diana,f,US,196,368475,36.8
197,juan,m,US,197,366010,36.6
198,alan,m,US,198,362464,36.2
199,brittany,f,US,199,361465,36.1
200,vincent,m,US,200,361416,36.1
